layer,layer_idx,fold,train_acc,test_acc,test_auc,test_loss
blk4,5,2,0.9665416479110718,0.9523333311080933,0.6164828808657524,0.16286037862300873
blk4,5,3,0.9794583320617676,0.9616666436195374,0.6020233150603246,0.14501559734344482
blk4,5,4,0.9744583368301392,0.9629999995231628,0.5995653898803035,0.13797742128372192
blk5,6,0,0.9888749718666077,0.9761666655540466,0.5080542261902634,0.13866573572158813
blk5,6,1,0.9758332967758179,0.9621666669845581,0.5716398183172438,0.16158752143383026
blk5,6,2,0.9903333187103271,0.9789999723434448,0.6250657710607332,0.10206545144319534
blk5,6,3,0.9934583306312561,0.9766666293144226,0.5686152956006034,0.14242154359817505
blk5,6,4,0.9558333158493042,0.9488333463668823,0.603589822403151,0.21012671291828156
blk6,7,0,0.9853749871253967,0.9711666703224182,0.5439167092579819,0.14803174138069153
blk6,7,1,0.9746666550636292,0.9629999995231628,0.5884535058637963,0.1949162632226944
blk6,7,2,0.9913749694824219,0.9801666736602783,0.6273719563392107,0.10779772698879242
blk6,7,3,0.9936666488647461,0.9776666760444641,0.5933119016622829,0.15731361508369446
blk6,7,4,0.9929999709129333,0.9783332943916321,0.585669303158429,0.11659608781337738
blk7,8,0,0.98479163646698,0.972000002861023,0.5323402110861322,0.16642309725284576
blk7,8,1,0.9979999661445618,0.9850000143051147,0.6004951001153773,0.09849537909030914
blk7,8,2,0.9926249980926514,0.9804999828338623,0.647698479335759,0.120494544506073
blk7,8,3,0.9937499761581421,0.9785000085830688,0.5977487889334644,0.15112854540348053
blk7,8,4,0.9861249923706055,0.9764999747276306,0.5971886157882134,0.20994271337985992
blk8,9,0,0.9916666746139526,0.9825000166893005,0.5623876393450826,0.13671699166297913
blk8,9,1,0.9975000023841858,0.984499990940094,0.6571139606548758,0.10887669026851654
blk8,9,2,0.9977083206176758,0.9853333234786987,0.6394103927605187,0.09887941181659698
blk8,9,3,0.9933333396911621,0.9774999618530273,0.6553309067722309,0.17947866022586823
blk8,9,4,0.9959999918937683,0.984499990940094,0.5776383085946296,0.13540281355381012
blk9,10,0,0.9737499952316284,0.9564999938011169,0.5669839272885833,0.199363112449646
blk9,10,1,0.9934999942779541,0.9793333411216736,0.5817353332067591,0.1235981434583664
blk9,10,2,0.9979166388511658,0.987500011920929,0.5979960817240414,0.1119433343410492
blk9,10,3,0.996791660785675,0.9836666584014893,0.6091494932856287,0.12797248363494873
blk9,10,4,0.997166633605957,0.9850000143051147,0.6225575518869442,0.11043702811002731
blk10,11,0,0.9980416297912598,0.9869999885559082,0.5948225639852605,0.12268005311489105
blk10,11,1,0.9959166646003723,0.98416668176651,0.6122226928188577,0.11465510725975037
blk10,11,2,0.9979583024978638,0.9853333234786987,0.6372833286687191,0.09702476859092712
blk10,11,3,0.9932083487510681,0.9783332943916321,0.621863846896393,0.1422480195760727
blk10,11,4,0.9958333373069763,0.981499969959259,0.6039257874627847,0.12133929133415222
blk11,12,0,0.996791660785675,0.9864999651908875,0.532636861085596,0.12886828184127808
blk11,12,1,0.9985833168029785,0.9856666326522827,0.6533824538855866,0.10296459496021271
blk11,12,2,0.9961249828338623,0.984833300113678,0.684246664800821,0.09958501905202866
blk11,12,3,0.9984583258628845,0.9851666688919067,0.6103598218160241,0.13166847825050354
blk11,12,4,0.9952083230018616,0.9808333516120911,0.6105879031133954,0.12260041385889053
blk12,13,0,0.9879166483879089,0.9771666526794434,0.5837285688245869,0.12224336713552475
blk12,13,1,0.9992916584014893,0.987500011920929,0.6458099049232522,0.09964323788881302
blk12,13,2,0.996666669845581,0.9858333468437195,0.6313014273719564,0.10549770295619965
blk12,13,3,0.9992499947547913,0.9866666793823242,0.6305605001904053,0.12958644330501556
blk12,13,4,0.9989583492279053,0.9861666560173035,0.6331118584943761,0.10143683105707169
blk13,14,0,0.9992083311080933,0.9886666536331177,0.5636635917524152,0.11883191019296646
blk13,14,1,0.9992083311080933,0.9854999780654907,0.6914387112792277,0.09513421356678009
blk13,14,2,0.9983333349227905,0.987666666507721,0.6262039369344156,0.10119938105344772
blk13,14,3,0.996958315372467,0.9839999675750732,0.6033694365477887,0.14718452095985413
blk13,14,4,0.9900833368301392,0.9771666526794434,0.6272539145290592,0.12092893570661545
blk14,15,0,0.9985833168029785,0.984333336353302,0.5665264429520607,0.12953288853168488
blk14,15,1,0.9987916350364685,0.98416668176651,0.5893699522425553,0.11964428424835205
blk14,15,2,0.9979166388511658,0.9881666302680969,0.6482545013527381,0.09239266812801361
blk14,15,3,0.9928749799728394,0.9766666293144226,0.5911598784948237,0.14732907712459564
blk14,15,4,0.9956250190734863,0.9829999804496765,0.6023102958994392,0.10844752937555313
blk15,16,0,0.984125018119812,0.9716666340827942,0.5958018663931292,0.11756473779678345
blk15,16,1,0.9817500114440918,0.9673333168029785,0.5793949263191717,0.1216207891702652
blk15,16,2,0.981208324432373,0.9695000052452087,0.6704916503405168,0.10915311425924301
blk15,16,3,0.9731666445732117,0.956333339214325,0.6062801290623496,0.14681784808635712
blk15,16,4,0.9835416674613953,0.9668332934379578,0.6695569192718851,0.11288968473672867
