block,rank,neuron_idx,mean_abs_weight,mean_signed_weight
2,9,392,0.13578203320503235,0.13578203320503235
2,10,1613,0.13300266861915588,-0.13300266861915588
2,11,1729,0.1329650729894638,-0.1329650729894638
2,12,2026,0.13011853396892548,0.13011853396892548
2,13,714,0.12939436733722687,0.12939436733722687
2,14,1126,0.12406443059444427,0.12406443059444427
2,15,1153,0.1236666813492775,0.1236666813492775
2,16,584,0.12248899042606354,0.12248899042606354
2,17,417,0.12144102156162262,0.12144102156162262
2,18,594,0.12097728252410889,-0.12097728252410889
2,19,391,0.12057830393314362,-0.12057830393314362
3,0,1328,0.328799307346344,0.328799307346344
3,1,970,0.3140403628349304,-0.3140403628349304
3,2,335,0.3113657832145691,-0.3113657832145691
3,3,425,0.28569909930229187,0.28569909930229187
3,4,2034,0.28162938356399536,0.28162938356399536
3,5,228,0.26480263471603394,0.26480263471603394
3,6,103,0.2410259246826172,-0.2410259246826172
3,7,744,0.2293710708618164,-0.2293710708618164
3,8,1407,0.22542890906333923,-0.22542890906333923
3,9,1222,0.21650934219360352,-0.21650934219360352
3,10,792,0.2154618501663208,-0.2154618501663208
3,11,1810,0.21543212234973907,0.21543212234973907
3,12,1036,0.21523138880729675,-0.21523138880729675
3,13,972,0.21499767899513245,0.21499767899513245
3,14,1716,0.21351435780525208,0.21351435780525208
3,15,456,0.21200139820575714,0.21200139820575714
3,16,1483,0.21110300719738007,0.21110300719738007
3,17,1318,0.20900440216064453,-0.20900440216064453
3,18,610,0.20541329681873322,0.20541329681873322
3,19,71,0.2038831263780594,0.2038831263780594
4,0,1349,0.33214071393013,0.33214071393013
4,1,759,0.3213987946510315,-0.3213987946510315
4,2,341,0.3129240870475769,0.3129240870475769
4,3,739,0.3012230396270752,0.3012230396270752
4,4,983,0.2875002920627594,-0.2875002920627594
4,5,1194,0.28484565019607544,0.28484565019607544
4,6,327,0.2807191014289856,0.2807191014289856
4,7,1572,0.27952489256858826,0.27952489256858826
4,8,990,0.2775718569755554,-0.2775718569755554
4,9,247,0.26780587434768677,0.26780587434768677
4,10,891,0.2608680725097656,0.2608680725097656
4,11,564,0.2552846670150757,0.2552846670150757
4,12,1303,0.25303125381469727,0.25303125381469727
4,13,1122,0.24997636675834656,0.24997636675834656
4,14,1889,0.24819675087928772,0.24819675087928772
4,15,1925,0.23895318806171417,-0.23895318806171417
4,16,37,0.235215425491333,-0.235215425491333
4,17,784,0.22885003685951233,0.22885003685951233
4,18,1933,0.22861595451831818,-0.22861595451831818
4,19,1089,0.22848916053771973,-0.22848916053771973
5,0,1646,0.25577211380004883,-0.25577211380004883
5,1,506,0.2508046627044678,-0.2508046627044678
5,2,1751,0.25011882185935974,0.25011882185935974
5,3,2017,0.24624089896678925,0.24624089896678925
5,4,1901,0.23862750828266144,-0.23862750828266144
5,5,1029,0.2366809844970703,-0.2366809844970703
5,6,121,0.22342590987682343,0.22342590987682343
5,7,84,0.21551212668418884,-0.21551212668418884
5,8,516,0.21282391250133514,-0.21282391250133514
5,9,909,0.20996777713298798,0.20996777713298798
5,10,1758,0.2089918553829193,-0.2089918553829193
5,11,1845,0.2072536051273346,0.2072536051273346
5,12,1239,0.20317797362804413,-0.20317797362804413
5,13,240,0.20057041943073273,-0.20057041943073273
5,14,1786,0.2005256712436676,0.2005256712436676
5,15,315,0.19922661781311035,-0.19922661781311035
5,16,939,0.19888658821582794,-0.19888658821582794
5,17,1661,0.1984521448612213,-0.1984521448612213
5,18,726,0.19506557285785675,-0.19506557285785675
5,19,555,0.194622203707695,-0.194622203707695
6,0,726,0.2682393491268158,0.2682393491268158
6,1,836,0.2557230293750763,-0.2557230293750763
6,2,1661,0.24316339194774628,-0.24316339194774628
6,3,501,0.22235527634620667,-0.22235527634620667
6,4,540,0.22059603035449982,0.22059603035449982
6,5,292,0.21781226992607117,-0.21781226992607117
6,6,1259,0.2173279970884323,-0.2173279970884323
6,7,1083,0.2161569893360138,-0.2161569893360138
6,8,413,0.20523333549499512,-0.20523333549499512
6,9,363,0.20447830855846405,-0.20447830855846405
6,10,1818,0.20307466387748718,-0.20307466387748718
6,11,1080,0.20049962401390076,0.20049962401390076
6,12,83,0.1997794657945633,0.1997794657945633
6,13,900,0.19769218564033508,0.19769218564033508
6,14,968,0.19320203363895416,-0.19320203363895416
6,15,1794,0.1929875761270523,-0.1929875761270523
6,16,694,0.1928725391626358,0.1928725391626358
6,17,337,0.19201096892356873,0.19201096892356873
6,18,2026,0.18974867463111877,-0.18974867463111877
6,19,1742,0.1880839467048645,-0.1880839467048645
7,0,638,0.24037685990333557,-0.24037685990333557
7,1,104,0.2178710401058197,0.2178710401058197
7,2,1863,0.21529734134674072,0.21529734134674072
7,3,700,0.20565727353096008,-0.20565727353096008
7,4,129,0.19754718244075775,-0.19754718244075775
7,5,1044,0.1970047652721405,-0.1970047652721405
7,6,238,0.19363665580749512,0.19363665580749512
7,7,1483,0.18537990748882294,-0.18537990748882294
7,8,1966,0.1738167107105255,0.1738167107105255
7,9,2014,0.17246851325035095,-0.17246851325035095
7,10,572,0.1720382571220398,-0.1720382571220398
7,11,1393,0.1710083931684494,-0.1710083931684494
7,12,1396,0.17042532563209534,-0.17042532563209534
7,13,1621,0.16926534473896027,-0.16926534473896027
7,14,12,0.16890200972557068,0.16890200972557068
7,15,161,0.16727547347545624,-0.16727547347545624
7,16,1224,0.16602234542369843,0.16602234542369843
7,17,1039,0.16527967154979706,0.16527967154979706
7,18,1515,0.16527867317199707,-0.16527867317199707
7,19,602,0.16281695663928986,0.16281695663928986
8,0,710,0.2939198613166809,0.2939198613166809
8,1,1436,0.27367115020751953,-0.27367115020751953
8,2,1133,0.24154368042945862,0.24154368042945862
8,3,414,0.24128952622413635,0.24128952622413635
8,4,749,0.22380602359771729,-0.22380602359771729
8,5,1347,0.20843783020973206,-0.20843783020973206
8,6,291,0.18940579891204834,-0.18940579891204834
8,7,826,0.18477244675159454,0.18477244675159454
8,8,21,0.17813071608543396,-0.17813071608543396
8,9,1782,0.1780562847852707,0.1780562847852707
8,10,1417,0.17472417652606964,-0.17472417652606964
8,11,1667,0.17084912955760956,0.17084912955760956
8,12,2034,0.17023316025733948,-0.17023316025733948
8,13,1533,0.16806136071681976,0.16806136071681976
8,14,1877,0.16626110672950745,-0.16626110672950745
8,15,1362,0.16560445725917816,-0.16560445725917816
8,16,936,0.16370433568954468,-0.16370433568954468
8,17,1467,0.16221877932548523,-0.16221877932548523
8,18,1593,0.1619623303413391,-0.1619623303413391
8,19,1164,0.1606777459383011,-0.1606777459383011
9,0,1680,0.19854794442653656,-0.19854794442653656
